place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJ89aHe6ZBvDsRaaZwyD8cDig,MURDESHWAR BIKE RENTAL & TAXI SERVICE,"MURDESHWAR BIKE RENTAL
Hassle free scooty rental
Affordable bike rental in the town!",,439,4.9,"Name: ARYAN BIKE RENTAL
Link: https://www.google.com/maps/search/ARYAN+BIKE+RENTAL/@14.0959077,74.48934369999999?authuser=0&hl=en&entry=ttu
Reviews: 210 reviews

Name: BHAIRAVA BIKE RENTAL
Link: https://www.google.com/maps/search/BHAIRAVA+BIKE+RENTAL/@14.0946556,74.48960579999999?authuser=0&hl=en&entry=ttu
Reviews: 89 reviews

Name: Ezee Bikes - it's really easy
Link: https://www.google.com/maps/search/Ezee+Bikes+-+it's+really+easy/@14.1010199,74.5044192?authuser=0&hl=en&entry=ttu
Reviews: 63 reviews

Name: Murdeshwara Royal Bike Rentals
Link: https://www.google.com/maps/search/Murdeshwara+Royal+Bike+Rentals/@14.0951192,74.4883526?authuser=0&hl=en&entry=ttu
Reviews: 17 reviews

Name: Murdeswara taxi or self drive car agency
Link: https://www.google.com/maps/search/Murdeswara+taxi+or+self+drive+car+agency/@14.0947328,74.4854409?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",https://www.murdeshwarbikerental.in/,080884 40148,,MURDESHWAR BIKE RENTAL & TAXI SERVICE (Owner),https://www.google.com/maps/contrib/112367571378146549244,https://lh3.ggpht.com/p/AF1QipNfC2dqLr7AItsmaSVjl_cKMq32jPG_YBs55uQW=s1024,Two Wheeler Rental Agency,"Two Wheeler Rental Agency, Car leasing service, Car rental agency, Lodge, Scooter rental service, Taxi service, Tour agency, Tourist attraction, Tourist information center, Travel agency",,,Open All Days,"TEMPLE ROAD, near KSRTC BUS STAND, Gangavati, Murdeshwar, Karnataka 581350","price, scooter, honda activa, owner, tourists, helmet, behaviour, sharing, cooperative, two wheeler",https://www.google.com/maps/place/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/data=!4m7!3m6!1s0x3bbc41a67b87d6f3:0x280e1c3fc870a669!8m2!3d14.0947284!4d74.4902824!16s%2Fg%2F11stqwvkz2!19sChIJ89aHe6ZBvDsRaaZwyD8cDig?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJNxN8KNRHvDsRQlA-Eu6L1fA,ARYAN BIKE RENTAL,WE HIRE SELF RIDE BIKES FOR RENT BASIS IN MURDESHWAR WITH REASONABLE PRICE.,,210,4.9,,,082177 69745,,ARYAN BIKE RENTAL (Owner),https://www.google.com/maps/contrib/117584966633291287231,https://lh3.ggpht.com/p/AF1QipMp08Qih7iC8E2axh2bhsAxTdztc6iTRe9orbUd=s1024,Two Wheeler Rental Agency,"Two Wheeler Rental Agency, Lodge, Taxi service",,,Open All Days,"Aryan Residency, 1, Post office road, near santdurga temple, Murdeshwar, Mavalli, Karnataka 581350","price, owner, railway station, sir, ganesh, felt, two wheeler, petrol, management, guide",https://www.google.com/maps/place/ARYAN+BIKE+RENTAL/data=!4m7!3m6!1s0x3bbc47d4287c1337:0xf0d58bee123e5042!8m2!3d14.0959077!4d74.4893437!16s%2Fg%2F11fm34h6xm!19sChIJNxN8KNRHvDsRQlA-Eu6L1fA?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJL2c9WWpHvDsR1nPInwybkz4,BHAIRAVA BIKE RENTAL,"Bhairava Bike Rentals takes pride in its well-conditioned bikes, offering a safe and reliable ride to all customers. The team is dedicated to delivering top-notch customer service, ensuring that your biking experience is both enjoyable and memorable. Their in-depth knowledge of the local area enables them to provide valuable insights into the best routes, hidden gems, and must-visit spots, adding a touch of personalized guidance to your journey.",,89,5,"Name: MURDESHWAR BIKE RENTAL & TAXI SERVICE
Link: https://www.google.com/maps/search/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/@14.0947284,74.4902824?authuser=0&hl=en&entry=ttu
Reviews: 439 reviews

Name: ARYAN BIKE RENTAL
Link: https://www.google.com/maps/search/ARYAN+BIKE+RENTAL/@14.0959077,74.48934369999999?authuser=0&hl=en&entry=ttu
Reviews: 210 reviews

Name: Ezee Bikes - it's really easy
Link: https://www.google.com/maps/search/Ezee+Bikes+-+it's+really+easy/@14.1010199,74.5044192?authuser=0&hl=en&entry=ttu
Reviews: 63 reviews

Name: Murdeshwara Royal Bike Rentals
Link: https://www.google.com/maps/search/Murdeshwara+Royal+Bike+Rentals/@14.0951192,74.4883526?authuser=0&hl=en&entry=ttu
Reviews: 17 reviews

Name: Sky Ride Bike Rental
Link: https://www.google.com/maps/search/Sky+Ride+Bike+Rental/@14.0951422,74.4948471?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",http://wa.me/918722557471,087225 57471,,BHAIRAVA BIKE RENTAL (Owner),https://www.google.com/maps/contrib/103021597996772947423,https://lh3.ggpht.com/p/AF1QipOX1sN9BUrK0T9iX-H-SmXyvYb88D_US9Q1z4Xd=s1024,Two Wheeler Rental Agency,Two Wheeler Rental Agency,,,Open All Days,"temple main road, opposite ksrtc bus stand, Gangavati, Murdeshwar, bhatkal, Karnataka 581350","price, owner, scooty, scooter, quality service, tvs jupiter, brand",https://www.google.com/maps/place/BHAIRAVA+BIKE+RENTAL/data=!4m7!3m6!1s0x3bbc476a593d672f:0x3e939b0c9fc873d6!8m2!3d14.0946556!4d74.4896058!16s%2Fg%2F11l1m5f9d2!19sChIJL2c9WWpHvDsR1nPInwybkz4?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJlZYaUk9BvDsR_ghAUujcdnU,Mr Riders Bike Rentals and Taxi Service,"Mr Riders Bike Rentals and Taxy Service our Company is always at your service please pls subscribe my youtube channel more updates give you.
Help.https://youtube.com/@mohannaik2349?feature=shared",,293,4.9,"Name: MURDESHWAR BIKE RENTAL & TAXI SERVICE
Link: https://www.google.com/maps/search/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/@14.0947284,74.4902824?authuser=0&hl=en&entry=ttu
Reviews: 439 reviews

Name: ARYAN BIKE RENTAL
Link: https://www.google.com/maps/search/ARYAN+BIKE+RENTAL/@14.0959077,74.48934369999999?authuser=0&hl=en&entry=ttu
Reviews: 210 reviews

Name: Ezee Bikes - it's really easy
Link: https://www.google.com/maps/search/Ezee+Bikes+-+it's+really+easy/@14.1010199,74.5044192?authuser=0&hl=en&entry=ttu
Reviews: 63 reviews

Name: DHANUSH BIKE RENTAL AND TAXI SERVICES
Link: https://www.google.com/maps/search/DHANUSH+BIKE+RENTAL+AND+TAXI+SERVICES/@14.096660199999999,74.5048781?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Murdeswara taxi or self drive car agency
Link: https://www.google.com/maps/search/Murdeswara+taxi+or+self+drive+car+agency/@14.0947328,74.4854409?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",https://mrriders.vercel.app/,099725 44847,,Mr Riders Bike Rentals and Taxi Service (Owner),https://www.google.com/maps/contrib/113724562354133079549,https://lh3.ggpht.com/p/AF1QipMAnWQHKwkKgS5kbnvErbGARW0C_XHbdnRKUq0A=s1024,Two Wheeler Rental Agency,Two Wheeler Rental Agency,,,Open All Days,"NH 66, near Railway Station, opp. RNS Hospital, Murdeshwar, Bhatkal, Karnataka 581350","price, scooty, owner, money, activa, highway, cooperative, railway station, value, behaviour",https://www.google.com/maps/place/Mr+Riders+Bike+Rentals+and+Taxi+Service/data=!4m7!3m6!1s0x3bbc414f521a9695:0x7576dce8524008fe!8m2!3d14.0958236!4d74.5050762!16s%2Fg%2F11vqp2tlts!19sChIJlZYaUk9BvDsR_ghAUujcdnU?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJHyUakFxBvDsR51TEjzfu7mA,FREEDOM TOURS AND BIKE RENTAL MURDESHWAR,FREEDOM TAXI AND BIKE RENTAL MURDESHWAR,,13,5,"Name: MURDESHWAR BIKE RENTAL & TAXI SERVICE
Link: https://www.google.com/maps/search/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/@14.0947284,74.4902824?authuser=0&hl=en&entry=ttu
Reviews: 439 reviews

Name: Mr Riders Bike Rentals and Taxi Service
Link: https://www.google.com/maps/search/Mr+Riders+Bike+Rentals+and+Taxi+Service/@14.0958236,74.50507619999999?authuser=0&hl=en&entry=ttu
Reviews: 290 reviews

Name: Ezee Bikes - it's really easy
Link: https://www.google.com/maps/search/Ezee+Bikes+-+it's+really+easy/@14.1010199,74.5044192?authuser=0&hl=en&entry=ttu
Reviews: 63 reviews

Name: DHANUSH BIKE RENTAL AND TAXI SERVICES
Link: https://www.google.com/maps/search/DHANUSH+BIKE+RENTAL+AND+TAXI+SERVICES/@14.096660199999999,74.5048781?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Swastik rental bikes
Link: https://www.google.com/maps/search/Swastik+rental+bikes/@14.100386299999998,74.5042536?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews",,074838 37855,,FREEDOM TOURS AND BIKE RENTAL MURDESHWAR (Owner),https://www.google.com/maps/contrib/103181491198847472583,https://lh3.ggpht.com/p/AF1QipOQTRiyJsNqPRIp4HqvOlh3iRZ68yy9EwJco6lO=s1024,Two Wheeler Rental Agency,Two Wheeler Rental Agency,,,Open All Days,"NH66, near RAILWAY STATION AND BYPASS BUS STAND, opp. SBI BANK, Murdeshwar, Mavalli, Karnataka 581350",,https://www.google.com/maps/place/FREEDOM+TOURS+AND+BIKE+RENTAL+MURDESHWAR/data=!4m7!3m6!1s0x3bbc415c901a251f:0x60eeee378fc454e7!8m2!3d14.0961679!4d74.50512!16s%2Fg%2F11lcn1ms3q!19sChIJHyUakFxBvDsR51TEjzfu7mA?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJ95lpRzVHvDsR_GqdNBFRPuE,Murdeshwara Royal Bike Rentals,Two Wheeler Bike Rental Agency,,17,4.3,"Name: MURDESHWAR BIKE RENTAL & TAXI SERVICE
Link: https://www.google.com/maps/search/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/@14.0947284,74.4902824?authuser=0&hl=en&entry=ttu
Reviews: 439 reviews

Name: ARYAN BIKE RENTAL
Link: https://www.google.com/maps/search/ARYAN+BIKE+RENTAL/@14.0959077,74.48934369999999?authuser=0&hl=en&entry=ttu
Reviews: 210 reviews

Name: BHAIRAVA BIKE RENTAL
Link: https://www.google.com/maps/search/BHAIRAVA+BIKE+RENTAL/@14.0946556,74.48960579999999?authuser=0&hl=en&entry=ttu
Reviews: 89 reviews

Name: DHANUSH BIKE RENTAL AND TAXI SERVICES
Link: https://www.google.com/maps/search/DHANUSH+BIKE+RENTAL+AND+TAXI+SERVICES/@14.096660199999999,74.5048781?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Sky Ride Bike Rental
Link: https://www.google.com/maps/search/Sky+Ride+Bike+Rental/@14.0951422,74.4948471?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",,073537 77784,,Murdeshwara Royal Bike Rentals (Owner),https://www.google.com/maps/contrib/110903177895695182909,https://lh3.ggpht.com/p/AF1QipOt5GjfP-vpqnS37X0j74vjuhG-xBguopGydG1A=s1024,Two Wheeler Rental Agency,Two Wheeler Rental Agency,,,Open All Days,"1, near Police Station, Murdeshwar, Mavalli, Karnataka 581350",activa,https://www.google.com/maps/place/Murdeshwara+Royal+Bike+Rentals/data=!4m7!3m6!1s0x3bbc4735476999f7:0xe13e5111349d6afc!8m2!3d14.0951192!4d74.4883526!16s%2Fg%2F11vwz50_fy!19sChIJ95lpRzVHvDsR_GqdNBFRPuE?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJubYCSG1BvDsR1YOmddfVtx8,Ezee Bikes - it's really easy,"Explore the freedom of two wheels with our premier rental bike service. Immerse yourself in the scenic beauty of your surroundings as you glide effortlessly on our top-notch motorcycles. Explore the surrounding areas with your family and friends . Whether you're a leisure seeker or an adventure enthusiast, we have the perfect ride for you. Conveniently located pickup and drop point and flexible rental durations make exploring your destination a breeze. Experience the joy of travelling without the hassle – choose us for a memorable ride every time. Pick a bike near Railway Station or Bustand enjoy your time and drop the bike near the Railway station or Bustand very much conveniently.",,63,5,"Name: MURDESHWAR BIKE RENTAL & TAXI SERVICE
Link: https://www.google.com/maps/search/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/@14.0947284,74.4902824?authuser=0&hl=en&entry=ttu
Reviews: 439 reviews

Name: Mr Riders Bike Rentals and Taxi Service
Link: https://www.google.com/maps/search/Mr+Riders+Bike+Rentals+and+Taxi+Service/@14.0958236,74.50507619999999?authuser=0&hl=en&entry=ttu
Reviews: 290 reviews

Name: ARYAN BIKE RENTAL
Link: https://www.google.com/maps/search/ARYAN+BIKE+RENTAL/@14.0959077,74.48934369999999?authuser=0&hl=en&entry=ttu
Reviews: 210 reviews

Name: DHANUSH BIKE RENTAL AND TAXI SERVICES
Link: https://www.google.com/maps/search/DHANUSH+BIKE+RENTAL+AND+TAXI+SERVICES/@14.096660199999999,74.5048781?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Swastik rental bikes
Link: https://www.google.com/maps/search/Swastik+rental+bikes/@14.100386299999998,74.5042536?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews",http://www.ezeebikes.in/,063660 42504,,Ezee Bikes - it's really easy (Owner),https://www.google.com/maps/contrib/116400106671695705406,https://lh3.ggpht.com/p/AF1QipPdtIJSGqqf1LQL0W1t1TXlXPGTk8JhQxrQ4m_M=s1024,Scooter rental service,Scooter rental service,,,Open All Days,"Railway Station and bus stand, near Railway Station, near Murdeshwar, Murdeshwar, Mavalli, Karnataka 581350","price, bike rental, railway station, money",https://www.google.com/maps/place/Ezee+Bikes+-+it%27s+really+easy/data=!4m7!3m6!1s0x3bbc416d4802b6b9:0x1fb7d5d775a683d5!8m2!3d14.1010199!4d74.5044192!16s%2Fg%2F11vpk__dy_!19sChIJubYCSG1BvDsR1YOmddfVtx8?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJKyEEfrVHvDsRbE_ZyJutNYE,Nehan Car Bike rentals,We provide rent a bike and car service in murudeshwar,,2,5,"Name: MURDESHWAR BIKE RENTAL & TAXI SERVICE
Link: https://www.google.com/maps/search/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/@14.0947284,74.4902824?authuser=0&hl=en&entry=ttu
Reviews: 439 reviews

Name: Mr Riders Bike Rentals and Taxi Service
Link: https://www.google.com/maps/search/Mr+Riders+Bike+Rentals+and+Taxi+Service/@14.0958236,74.50507619999999?authuser=0&hl=en&entry=ttu
Reviews: 290 reviews

Name: Murdeshwara Royal Bike Rentals
Link: https://www.google.com/maps/search/Murdeshwara+Royal+Bike+Rentals/@14.0951192,74.4883526?authuser=0&hl=en&entry=ttu
Reviews: 17 reviews

Name: Murdeswara taxi or self drive car agency
Link: https://www.google.com/maps/search/Murdeswara+taxi+or+self+drive+car+agency/@14.0947328,74.4854409?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",,,,Nehan Car Bike rentals (Owner),https://www.google.com/maps/contrib/109464310047797712435,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NIKSrhCRtap6utTb7iMgzw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=260.1122&pitch=0&thumbfov=100,Car leasing service,Car leasing service,,,Open All Days,"Near, Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350",,https://www.google.com/maps/place/Nehan+Car+Bike+rentals/data=!4m7!3m6!1s0x3bbc47b57e04212b:0x8135ad9bc8d94f6c!8m2!3d14.0950648!4d74.4947611!16s%2Fg%2F11m5xtyh64!19sChIJKyEEfrVHvDsRbE_ZyJutNYE?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJAeTpj2VBvDsR6sNR6PqYDCI,Swastik rental bikes,We have all type of two wheeler vehicles for off road as well as on road in reasonable price. Customer satisfaction is an our first priority,,5,4.4,"Name: Mr Riders Bike Rentals and Taxi Service
Link: https://www.google.com/maps/search/Mr+Riders+Bike+Rentals+and+Taxi+Service/@14.0958236,74.50507619999999?authuser=0&hl=en&entry=ttu
Reviews: 290 reviews

Name: Ezee Bikes - it's really easy
Link: https://www.google.com/maps/search/Ezee+Bikes+-+it's+really+easy/@14.1010199,74.5044192?authuser=0&hl=en&entry=ttu
Reviews: 63 reviews

Name: FREEDOM TOURS AND BIKE RENTAL MURDESHWAR
Link: https://www.google.com/maps/search/FREEDOM+TOURS+AND+BIKE+RENTAL+MURDESHWAR/@14.0961679,74.50511999999999?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: DHANUSH BIKE RENTAL AND TAXI SERVICES
Link: https://www.google.com/maps/search/DHANUSH+BIKE+RENTAL+AND+TAXI+SERVICES/@14.096660199999999,74.5048781?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Sky Ride Bike Rental
Link: https://www.google.com/maps/search/Sky+Ride+Bike+Rental/@14.0951422,74.4948471?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",,072593 22463,,Swastik rental bikes (Owner),https://www.google.com/maps/contrib/117116911344553053604,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HD38f3jc6AYaqpv-j5XifQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.21826&pitch=0&thumbfov=100,Two Wheeler Rental Agency,Two Wheeler Rental Agency,,,Open All Days,"Aryan highway homestay, railway station, NH 66, opp. murdeshwar, Murdeshwar, Mavalli, Karnataka 581350",price,https://www.google.com/maps/place/Swastik+rental+bikes/data=!4m7!3m6!1s0x3bbc41658fe9e401:0x220c98fae851c3ea!8m2!3d14.1003863!4d74.5042536!16s%2Fg%2F11vr434tr2!19sChIJAeTpj2VBvDsR6sNR6PqYDCI?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
ChIJSZAAeOtBvDsR85FDVkl2yU0,DHANUSH BIKE RENTAL AND TAXI SERVICES,,,9,5,"Name: MURDESHWAR BIKE RENTAL & TAXI SERVICE
Link: https://www.google.com/maps/search/MURDESHWAR+BIKE+RENTAL+%26+TAXI+SERVICE/@14.0947284,74.4902824?authuser=0&hl=en&entry=ttu
Reviews: 439 reviews

Name: Mr Riders Bike Rentals and Taxi Service
Link: https://www.google.com/maps/search/Mr+Riders+Bike+Rentals+and+Taxi+Service/@14.0958236,74.50507619999999?authuser=0&hl=en&entry=ttu
Reviews: 290 reviews

Name: Ezee Bikes - it's really easy
Link: https://www.google.com/maps/search/Ezee+Bikes+-+it's+really+easy/@14.1010199,74.5044192?authuser=0&hl=en&entry=ttu
Reviews: 63 reviews

Name: FREEDOM TOURS AND BIKE RENTAL MURDESHWAR
Link: https://www.google.com/maps/search/FREEDOM+TOURS+AND+BIKE+RENTAL+MURDESHWAR/@14.0961679,74.50511999999999?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Swastik rental bikes
Link: https://www.google.com/maps/search/Swastik+rental+bikes/@14.100386299999998,74.5042536?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews",,080884 40148,,DHANUSH BIKE RENTAL AND TAXI SERVICES (Owner),https://www.google.com/maps/contrib/106126603853712992136,https://lh3.ggpht.com/p/AG0ilSxljDWTtuTocId4FTpvzccXvqVAn94TfMhu28ANy55FU9e5pr0X9VPLkubnhu9LFukDj3E8POemEVwae7JZzcXFf39pp_M8C48Xs_3Y5hzA29McArm76vQ2hsNR7PMp4uSRkRFAlQ=s1024,Two Wheeler Rental Agency,Two Wheeler Rental Agency,,,Open All Days,"NH 66, BYPASS, near KAMAT RESTAURANT, Murdeshwar, Karnataka 581350","cleaning, price",https://www.google.com/maps/place/DHANUSH+BIKE+RENTAL+AND+TAXI+SERVICES/data=!4m7!3m6!1s0x3bbc41eb78009049:0x4dc97649564391f3!8m2!3d14.0966602!4d74.5048781!16s%2Fg%2F11vk03v_nc!19sChIJSZAAeOtBvDsR85FDVkl2yU0?authuser=0&hl=en&rclk=1,bike rentals in murudeshwar
