place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJVTbOcdBGvDsR5FXaw3PiDpo,Aryana Guest House - Sea View,,,2238,4.1,,,089883 38383,,Aryana Guest House - Sea View (Owner),https://www.google.com/maps/contrib/117543121265331652571,https://lh3.ggpht.com/p/AF1QipPAY_MqnFDEOSGirKxnOLe-wC4IcGuKFwJt2iMP=s1024,Resort hotel,"Resort hotel, Guest house, Hotel, Lodge",,,Open All Days,"Beach road, Murdeshwar Temple Main Rd, Matadahitlu, Murdeshwar, Karnataka 581350","balcony, hot water, distance, clean rooms, budget, shiva, statue, cooperative, scuba diving, m. r. r. vasu",https://www.google.com/maps/place/Aryana+Guest+House+-+Sea+View/data=!4m7!3m6!1s0x3bbc46d071ce3655:0x9a0ee273c3da55e4!8m2!3d14.0921934!4d74.4883581!16s%2Fg%2F11cjp6_ft_!19sChIJVTbOcdBGvDsR5FXaw3PiDpo?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJe6k90P5HvDsR66didRgfmIg,ARYAN RESIDENCY,,,634,4,,,099012 68416,,ARYAN RESIDENCY (Owner),https://www.google.com/maps/contrib/101623027156824820141,https://lh3.ggpht.com/p/AF1QipPXRdfj1tLn_KRKGXnkY8KEmExQzh4tw47pALr6=s1024,Lodge,"Lodge, Car leasing service, Guest house, Home Stay, Wi-Fi spot",,,Open All Days,"Murdeshwar temple main road, Keri Rd, near Laxmi venktramana temple, Murdeshwar, Karnataka 581350","beach, distance, AC, budget, hot water, rent, management, check in, market, charge",https://www.google.com/maps/place/ARYAN+RESIDENCY/data=!4m7!3m6!1s0x3bbc47fed03da97b:0x88981f187562a7eb!8m2!3d14.0964413!4d74.4890937!16s%2Fg%2F11j2xsp_cy!19sChIJe6k90P5HvDsR66didRgfmIg?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJz3rYq9tGvDsR7sjKPQffLpA,RNS Guest House,,,114,3.7,,http://www.naveenhotels.com/,063649 16047,,RNS Guest House (Owner),https://www.google.com/maps/contrib/112977390972635997832,https://lh3.ggpht.com/p/ALd4DhEqLJ-O1SlottjwWZNC4RGrmMBtL32N4ugfVKG4V6RBhMCfYW1dFpd_eNdLgWS-dzNez6YdLDe5GnAlb75mes4Y0wirpBOh_xr3eomrcEsGBbtSJmwZMtpAC-O1tRKXJOnbZ54C6OzxFcsbiKnq-5RV80JWzJACbor9jFWWYUZiXTwtH4bT7X8C=s1024,Guest house,Guest house,,,Open All Days,"Murdeshwar, Karnataka","room service, statue, balcony, price, wifi, property, coupon, shiva, tea, window",https://www.google.com/maps/place/RNS+Guest+House/data=!4m7!3m6!1s0x3bbc46dbabd87acf:0x902edf073dcac8ee!8m2!3d14.0930164!4d74.484451!16s%2Fg%2F11ggzcw4tr!19sChIJz3rYq9tGvDsR7sjKPQffLpA?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJvY_GvGtHvDsRA6LxUH7v-w8,Blue Pearl Beach Guest Hous,,,258,4.2,,,096324 91533,,Blue Pearl Beach Guest Hous (Owner),https://www.google.com/maps/contrib/106785126552099392425,https://lh3.ggpht.com/p/AF1QipOLL2XZ-GoqD9N1h6XpJHO_r7Tvnd-V71TIbfLC=s1024,Hotel,"Hotel, Lodge, Home Stay",,,Open All Days,"3FQQ+PQF, Matadahitlu, Murdeshwar, Karnataka 581350","sea, clean rooms, price, room service, receptionist, smell, parking, cooperative, behaviour, shiva",https://www.google.com/maps/place/Blue+Pearl+Beach+Guest+Hous/data=!4m7!3m6!1s0x3bbc476bbcc68fbd:0xffbef7e50f1a203!8m2!3d14.0891021!4d74.4888566!16s%2Fg%2F11vbbkmgnq!19sChIJvY_GvGtHvDsRA6LxUH7v-w8?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJM6Dxv9BGvDsRAgkEzIsDMFM,Dhenu Atithya,"Unfussy rooms, some with air-conditioning, in a bright, cosy property with a Chinese restaurant.",,2521,3.8,,,096206 25718,,Dhenu Atithya (Owner),https://www.google.com/maps/contrib/115514236961356069230,https://lh3.ggpht.com/p/AF1QipOwiSzucTk8ipyhC-JTGNcToL7YoplcKQ6pPnB7=s1024,Hotel,Hotel,,,Open All Days,"Bus Stand, Murudeshwar Temple Hwy, opp. KSRTC Ticket Booking Centre, Gangavati, Murdeshwar, Karnataka 581350","hot water, vegetarian, distance, pooja, cow, budget, parking space, non veg, shiva, bed bugs",https://www.google.com/maps/place/Dhenu+Atithya/data=!4m7!3m6!1s0x3bbc46d0bff1a033:0x5330038bcc040902!8m2!3d14.0943081!4d74.489089!16s%2Fg%2F124ygd95l!19sChIJM6Dxv9BGvDsRAgkEzIsDMFM?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJUyt3FtpGvDsRfYjvWSQ76Cc,Kamath Yatri Nivas - Hotel in Murudeshwar,"Pared-back quarters, some with beach views, in a modest lodging offering a vegetarian restaurant.",,1164,3.4,,https://booking.kamathhomestay.com/,095387 37778,,Kamath Yatri Nivas - Hotel in Murudeshwar (Owner),https://www.google.com/maps/contrib/108319960404951214042,https://lh3.ggpht.com/p/AF1QipNash2tM54iZuFJK9ew6skk3JOWBoBYDBh_YHs3=s1024,Hotel,"Hotel, Resort hotel",,,Open All Days,"Temple & Beach, Door No. 378/A/B, Murudeshwar Temple Hwy, opp. Murdeshwar, Murdeshwar, Karnataka 581350","beach, taste, lunch, vegetarian food, food quality, poori, average, fried rice, manners, sambar",https://www.google.com/maps/place/Kamath+Yatri+Nivas+-+Hotel+in+Murudeshwar/data=!4m7!3m6!1s0x3bbc46da16772b53:0x27e83b2459ef887d!8m2!3d14.0947928!4d74.4865047!16s%2Fg%2F11h1pc5ph!19sChIJUyt3FtpGvDsRfYjvWSQ76Cc?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJtdOI5ttGvDsRvc9gcrVbLtA,RNS Residency,Temple side property with beautiful views of the Arabian Sea,,4398,4.2,,https://www.naveenhotels.com/RNS-Residency/,087624 71752,,RNS Residency (Owner),https://www.google.com/maps/contrib/113432180573784948162,https://lh3.ggpht.com/p/AF1QipMhFIfVI7tv2p3LdI3t7aXCe6e3ctGiUFZBfPKb=s1024,Hotel,Hotel,,,Open All Days,"Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350","balcony, renovation, room service, vegetarian, shiva, statue, premises, gopuram, shore, tariff",https://www.google.com/maps/place/RNS+Residency/data=!4m7!3m6!1s0x3bbc46dbe688d3b5:0xd02e5bb57260cfbd!8m2!3d14.0950465!4d74.4830117!16s%2Fg%2F1tdqrzy2!19sChIJtdOI5ttGvDsRvc9gcrVbLtA?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJLfX9VAhHvDsRZHnVTBYPYgc,Nestle Sahyadri Beachfront Homestay Murudeshwar,,,588,4.9,,https://beachstaymurudeshwar.in/,099454 94973,,Nestle Sahyadri Beachfront Homestay Murudeshwar (Owner),https://www.google.com/maps/contrib/116166196761589386581,https://lh3.ggpht.com/p/AF1QipMiq01lItUBp9UjyhRqynw7oUbM7SHMvQiDnSEs=s1024,Home Stay,"Home Stay, Beach pavillion, Guest house, Resort hotel",,,Open All Days,"House No 1, Christian Colony, Tuddalli, Bailur, Murdeshwar, Karnataka 581350","hospitality, property, meals, hygienic, statue, lord shiva, sunset, neer dosa, fish curry, waves",https://www.google.com/maps/place/Nestle+Sahyadri+Beachfront+Homestay+Murudeshwar/data=!4m7!3m6!1s0x3bbc470854fdf52d:0x7620f164cd57964!8m2!3d14.110781!4d74.4855951!16s%2Fg%2F11symz0xjd!19sChIJLfX9VAhHvDsRZHnVTBYPYgc?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJAwK95ydHvDsRRri720sO3oo,Vrindhavan Homestay,,,183,4.8,,,077959 56196,,Vrindhavan Homestay (Owner),https://www.google.com/maps/contrib/106486366446045853133,https://lh3.ggpht.com/p/AF1QipM5L972U76LDbMLTtaDWjNTkkwQ-rfPD0BGvJ5c=s1024,Home Stay,"Home Stay, Extended stay hotel, Farmstay, Guest house, Gym, Gymnastics center, Hotel, Lodge",,,Open All Days,"Gangavati, Murdeshwar, Karnataka 581350","hospitality, property, trip, amenities, beach, hygiene, management, team, scuba diving, language barrier",https://www.google.com/maps/place/Vrindhavan+Homestay/data=!4m7!3m6!1s0x3bbc4727e7bd0203:0x8ade0e4bdbbbb846!8m2!3d14.0906828!4d74.4940432!16s%2Fg%2F11vkdmvzkc!19sChIJAwK95ydHvDsRRri720sO3oo?authuser=0&hl=en&rclk=1,guest house in murudeshwar
ChIJeRAT6NtGvDsRJUx0AVq0fV4,Nataraja Guest House,,,6,3,"Name: K.R.S Bharat Guest House
Link: https://www.google.com/maps/search/K.R.S+Bharat+Guest+House/@14.0903131,74.49358939999999?authuser=0&hl=en&entry=ttu
Reviews: 30 reviews

Name: ARSIK GUEST HOUSE
Link: https://www.google.com/maps/search/ARSIK+GUEST+HOUSE/@14.0997259,74.48750129999999?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Murudeshwar Rooms
Link: https://www.google.com/maps/search/Murudeshwar+Rooms/@14.089504799999998,74.49298329999999?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: nisarg residency
Link: https://www.google.com/maps/search/nisarg+residency/@14.0944466,74.4904662?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews",,,1,Nataraja Guest House (Owner),,https://lh3.ggpht.com/p/AG0ilSyc5oNQ5zYyr42tNmHSN4bGFsbO0_MeU2lWMZ8pevtHpPzJwl4qfAdKFxlAhGJ0cMtpEjWeCuy76vjuR6-U9XiRe5w2PksNAIIU75wjVmmqR8kuAONe_sKaPWBBF1Bw_VN6q2eEag=s1024,Guest house,Guest house,,,Open All Days,"3FVM+W75, Murdeshwar, Karnataka",,https://www.google.com/maps/place/Nataraja+Guest+House/data=!4m7!3m6!1s0x3bbc46dbe8131079:0x5e7db45a01744c25!8m2!3d14.0947733!4d74.4832212!16s%2Fg%2F11ggz6g1n5!19sChIJeRAT6NtGvDsRJUx0AVq0fV4?authuser=0&hl=en&rclk=1,guest house in murudeshwar
