place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJVTbOcdBGvDsR5FXaw3PiDpo,Aryana Guest House - Sea View,,,2238,4.1,,,089883 38383,,Aryana Guest House - Sea View (Owner),https://www.google.com/maps/contrib/117543121265331652571,https://lh3.ggpht.com/p/AF1QipPAY_MqnFDEOSGirKxnOLe-wC4IcGuKFwJt2iMP=s1024,Resort hotel,"Resort hotel, Guest house, Hotel, Lodge",,,Open All Days,"Beach road, Murdeshwar Temple Main Rd, Matadahitlu, Murdeshwar, Karnataka 581350","balcony, hot water, distance, clean rooms, budget, shiva, statue, cooperative, scuba diving, m. r. r. vasu",https://www.google.com/maps/place/Aryana+Guest+House+-+Sea+View/data=!4m7!3m6!1s0x3bbc46d071ce3655:0x9a0ee273c3da55e4!8m2!3d14.0921934!4d74.4883581!16s%2Fg%2F11cjp6_ft_!19sChIJVTbOcdBGvDsR5FXaw3PiDpo?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJe6k90P5HvDsR66didRgfmIg,ARYAN RESIDENCY,,,634,4,,,099012 68416,,ARYAN RESIDENCY (Owner),https://www.google.com/maps/contrib/101623027156824820141,https://lh3.ggpht.com/p/AF1QipPXRdfj1tLn_KRKGXnkY8KEmExQzh4tw47pALr6=s1024,Lodge,"Lodge, Car leasing service, Guest house, Home Stay, Wi-Fi spot",,,Open All Days,"Murdeshwar temple main road, Keri Rd, near Laxmi venktramana temple, Murdeshwar, Karnataka 581350","beach, distance, AC, budget, hot water, rent, management, check in, market, charge",https://www.google.com/maps/place/ARYAN+RESIDENCY/data=!4m7!3m6!1s0x3bbc47fed03da97b:0x88981f187562a7eb!8m2!3d14.0964413!4d74.4890937!16s%2Fg%2F11j2xsp_cy!19sChIJe6k90P5HvDsR66didRgfmIg?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJcQ6UiNNGvDsR7rKXuSm54uc,Shree Vinayaka Residency,"Unfussy rooms, some with air conditioning, in a down-to-earth hotel with a restaurant.",,1393,3.8,,http://shreevinayakaresidency.com/,095359 61455,,Shree Vinayaka Residency (Owner),https://www.google.com/maps/contrib/111730581945452639599,https://lh3.ggpht.com/p/AF1QipP6MXYgwSd1zDqLQ07h4xQjmwJfxusQI9_vuyun=s1024,Lodge,"Lodge, Restaurant",,,Open All Days,"Murudeshwar Temple Main Road, Murudeshwara, Opp H.P Gas, Bhatkal, Karnataka 581350","hot water, beach, car parking, check in, railway station, room service, mosquitoes, intercom, value, ventilation",https://www.google.com/maps/place/Shree+Vinayaka+Residency/data=!4m7!3m6!1s0x3bbc46d388940e71:0xe7e2b929b997b2ee!8m2!3d14.0953712!4d74.4957363!16s%2Fg%2F11b6gg3c1g!19sChIJcQ6UiNNGvDsR7rKXuSm54uc?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJNbIZXNFGvDsR7H6qjJPoeFg,Esha Lodging and Boarding,,,233,3.7,,,097394 79395,,Esha Lodging and Boarding (Owner),https://www.google.com/maps/contrib/118255469151902722145,https://lh3.ggpht.com/p/AG0ilSycyLAp_L2NNpQ5y-domQIYD4dVddBZ40SSGiTvsPbnBkMoeJwHUw5BRW_xSpGz504Esg1ih5e9eJO3GL1-nqYEWRt9mEVIzz_g-5uu7blHwKiO8D5FSp7wsg4XYibCQ62RZDKG=s1024,Lodge,Lodge,,,Open All Days,"Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350","AC, mosquitoes, service, window, toilet, hot water, noise, owner, star, price",https://www.google.com/maps/place/Esha+Lodging+and+Boarding/data=!4m7!3m6!1s0x3bbc46d15c19b235:0x5878e8938caa7eec!8m2!3d14.095069!4d74.493199!16s%2Fg%2F11b88ymvm3!19sChIJNbIZXNFGvDsR7H6qjJPoeFg?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJtdOI5ttGvDsRvc9gcrVbLtA,RNS Residency,Temple side property with beautiful views of the Arabian Sea,,4398,4.2,,https://www.naveenhotels.com/RNS-Residency/,087624 71752,,RNS Residency (Owner),https://www.google.com/maps/contrib/113432180573784948162,https://lh3.ggpht.com/p/AF1QipMhFIfVI7tv2p3LdI3t7aXCe6e3ctGiUFZBfPKb=s1024,Hotel,Hotel,,,Open All Days,"Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350","balcony, renovation, room service, vegetarian, shiva, statue, premises, gopuram, shore, tariff",https://www.google.com/maps/place/RNS+Residency/data=!4m7!3m6!1s0x3bbc46dbe688d3b5:0xd02e5bb57260cfbd!8m2!3d14.0950465!4d74.4830117!16s%2Fg%2F1tdqrzy2!19sChIJtdOI5ttGvDsRvc9gcrVbLtA?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJo94hwtBGvDsRJovpXBQmMTE,Shri Vighneshwar Yatri Nivas,,,90,4.2,,,,,Shri Vighneshwar Yatri Nivas (Owner),https://www.google.com/maps/contrib/104324875961408291938,https://lh3.ggpht.com/p/AF1QipM4IKd3TwLxtshfpJZLAxRf6K2We605IBvZIz9j=s1024,Lodge,Lodge,,,Open All Days,"Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350","price, hot water, information",https://www.google.com/maps/place/Shri+Vighneshwar+Yatri+Nivas/data=!4m7!3m6!1s0x3bbc46d0c221dea3:0x313126145ce98b26!8m2!3d14.0942379!4d74.488298!16s%2Fg%2F11g9qgfdm6!19sChIJo94hwtBGvDsRJovpXBQmMTE?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJxVvw_UtHvDsROopWG5iynz0,Royal Retreat lodging & boarding,"Low-key rooms & suites, some with balconies & sea views, in a relaxed hotel offering a restaurant.",,485,4.1,,http://hotelroyalretreat.in/,087927 20472,,Royal Retreat lodging & boarding (Owner),https://www.google.com/maps/contrib/106917795640099250310,https://lh3.ggpht.com/p/AG0ilSzGfZWfzF1zAz9ht8rse6qwZryKh5IOeN0SIrAYRnHHow6SBXU85SLsEvu1cWVQ2FSyDeBijd6lFTr0ycZBUCP5hbWP4c04ICFrt-XvLU4yIoovfU7n-rKO_lVkm-nVANNjfh3d=s1024,Hotel,"Hotel, Lodge",,,Open All Days,"Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350","hot water, hygiene, customers, hospitality, morning, room service, distance, vegetarian, statue, management",https://www.google.com/maps/place/Royal+Retreat+lodging+%26+boarding/data=!4m7!3m6!1s0x3bbc474bfdf05bc5:0x3d9fb2981b568a3a!8m2!3d14.0945311!4d74.487359!16s%2Fg%2F11nt3yvvyf!19sChIJxVvw_UtHvDsROopWG5iynz0?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJrYeVFtFGvDsRG-bCScc6ln8,Jaya Paradise murdeswar,,,833,3.7,,http://contactinfo.in/Hotel/jaya-paradise-Lodging.html,083101 33098,,Jaya Paradise murdeswar (Owner),https://www.google.com/maps/contrib/104689636435922558184,https://lh3.ggpht.com/p/AF1QipOgh4tdVnOjmrX16UeQwsd0su80I6iirC6Y0qfC=s1024,Lodge,Lodge,,,Open All Days,"near Canara bank, Gangavati, Murdeshwar, Bhatkal, Karnataka 581350","price, bar, tv, bed sheets, balcony, hot water, room service, behaviour, toilet, need",https://www.google.com/maps/place/Jaya+Paradise+murdeswar/data=!4m7!3m6!1s0x3bbc46d1169587ad:0x7f963ac749c2e61b!8m2!3d14.0944631!4d74.4916099!16s%2Fg%2F11c1ncv15d!19sChIJrYeVFtFGvDsRG-bCScc6ln8?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJUyt3FtpGvDsRfYjvWSQ76Cc,Kamath Yatri Nivas - Hotel in Murudeshwar,"Pared-back quarters, some with beach views, in a modest lodging offering a vegetarian restaurant.",,1164,3.4,,https://booking.kamathhomestay.com/,095387 37778,,Kamath Yatri Nivas - Hotel in Murudeshwar (Owner),https://www.google.com/maps/contrib/108319960404951214042,https://lh3.ggpht.com/p/AF1QipNash2tM54iZuFJK9ew6skk3JOWBoBYDBh_YHs3=s1024,Hotel,"Hotel, Resort hotel",,,Open All Days,"Temple & Beach, Door No. 378/A/B, Murudeshwar Temple Hwy, opp. Murdeshwar, Murdeshwar, Karnataka 581350","beach, taste, lunch, vegetarian food, food quality, poori, average, fried rice, manners, sambar",https://www.google.com/maps/place/Kamath+Yatri+Nivas+-+Hotel+in+Murudeshwar/data=!4m7!3m6!1s0x3bbc46da16772b53:0x27e83b2459ef887d!8m2!3d14.0947928!4d74.4865047!16s%2Fg%2F11h1pc5ph!19sChIJUyt3FtpGvDsRfYjvWSQ76Cc?authuser=0&hl=en&rclk=1,lodges in murudeshwar
ChIJRw8jqSlHvDsRdfvuAVNkoiU,Netrani Residency,,,572,4.1,,https://netraniresidency.com/,089894 94993,1,Netrani Residency (Owner),,https://lh3.ggpht.com/p/AG0ilSxjjkPWlXsL7YbSfEezBbk2OVUrckKRdIPe_Fh1pJd5xeV_hNMSr0cXCIjDujtoBzp0ylnLzPKk2obL4w62cOQWHIyb6NcD736LHA9J44hZxRKkDQrvHCeJ-lr1uh9vnebP912z=s1024,Resort hotel,Resort hotel,,,Open All Days,"3FWW+32W, Temple Road, Murdeshwar, Karnataka 581350","price, clean rooms, beach, hot water, scuba diving, mosquitoes, room service, budget, floor, temple",https://www.google.com/maps/place/Netrani+Residency/data=!4m7!3m6!1s0x3bbc4729a9230f47:0x25a2645301eefb75!8m2!3d14.0952313!4d74.4950665!16s%2Fg%2F11qrdfm6_w!19sChIJRw8jqSlHvDsRdfvuAVNkoiU?authuser=0&hl=en&rclk=1,lodges in murudeshwar
