place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJVTbOcdBGvDsR5FXaw3PiDpo,Aryana Guest House - Sea View,,,2238,4.1,,,089883 38383,,Aryana Guest House - Sea View (Owner),https://www.google.com/maps/contrib/117543121265331652571,https://lh3.ggpht.com/p/AF1QipPAY_MqnFDEOSGirKxnOLe-wC4IcGuKFwJt2iMP=s1024,Resort hotel,"Resort hotel, Guest house, Hotel, Lodge",,,Open All Days,"Beach road, Murdeshwar Temple Main Rd, Matadahitlu, Murdeshwar, Karnataka 581350","balcony, hot water, distance, clean rooms, budget, shiva, statue, cooperative, scuba diving, m. r. r. vasu",https://www.google.com/maps/place/Aryana+Guest+House+-+Sea+View/data=!4m7!3m6!1s0x3bbc46d071ce3655:0x9a0ee273c3da55e4!8m2!3d14.0921934!4d74.4883581!16s%2Fg%2F11cjp6_ft_!19sChIJVTbOcdBGvDsR5FXaw3PiDpo?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJM6Dxv9BGvDsRAgkEzIsDMFM,Dhenu Atithya,"Unfussy rooms, some with air-conditioning, in a bright, cosy property with a Chinese restaurant.",,2521,3.8,,,096206 25718,,Dhenu Atithya (Owner),https://www.google.com/maps/contrib/115514236961356069230,https://lh3.ggpht.com/p/AF1QipOwiSzucTk8ipyhC-JTGNcToL7YoplcKQ6pPnB7=s1024,Hotel,Hotel,,,Open All Days,"Bus Stand, Murudeshwar Temple Hwy, opp. KSRTC Ticket Booking Centre, Gangavati, Murdeshwar, Karnataka 581350","hot water, vegetarian, distance, pooja, cow, budget, parking space, non veg, shiva, bed bugs",https://www.google.com/maps/place/Dhenu+Atithya/data=!4m7!3m6!1s0x3bbc46d0bff1a033:0x5330038bcc040902!8m2!3d14.0943081!4d74.489089!16s%2Fg%2F124ygd95l!19sChIJM6Dxv9BGvDsRAgkEzIsDMFM?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJRw8jqSlHvDsRdfvuAVNkoiU,Netrani Residency,,,572,4.1,,https://netraniresidency.com/,089894 94993,1,Netrani Residency (Owner),,https://lh3.ggpht.com/p/AG0ilSxjjkPWlXsL7YbSfEezBbk2OVUrckKRdIPe_Fh1pJd5xeV_hNMSr0cXCIjDujtoBzp0ylnLzPKk2obL4w62cOQWHIyb6NcD736LHA9J44hZxRKkDQrvHCeJ-lr1uh9vnebP912z=s1024,Resort hotel,Resort hotel,,,Open All Days,"3FWW+32W, Temple Road, Murdeshwar, Karnataka 581350","price, clean rooms, beach, hot water, scuba diving, mosquitoes, room service, budget, floor, temple",https://www.google.com/maps/place/Netrani+Residency/data=!4m7!3m6!1s0x3bbc4729a9230f47:0x25a2645301eefb75!8m2!3d14.0952313!4d74.4950665!16s%2Fg%2F11qrdfm6_w!19sChIJRw8jqSlHvDsRdfvuAVNkoiU?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJ9zzFW9JBvDsR5J35VOP_r6k,"Coastal Pearl Homestay - Murudeshwar, Karnataka",,,320,4.9,,https://www.coastalpearlhomestay.com/,063615 53206,,"Coastal Pearl Homestay - Murudeshwar, Karnataka (Owner)",https://www.google.com/maps/contrib/106269059000776082626,https://lh3.ggpht.com/p/AF1QipMUicwuX4PDJzfSPV28VbDFRIFf7-FSt7IOhtg2=s1024,Home Stay,Home Stay,,,Open All Days,"1, Hotel Road, opp. to RNS Highway, Konarkeri, Mavalli, Murdeshwar, Karnataka 581350","property, hospitality, highway, management, feel, needs, vacation, beach, narasimha, hills","https://www.google.com/maps/place/Coastal+Pearl+Homestay+-+Murudeshwar,+Karnataka/data=!4m7!3m6!1s0x3bbc41d25bc53cf7:0xa9afffe354f99de4!8m2!3d14.0965413!4d74.5102689!16s%2Fg%2F11swzl6yk_!19sChIJ9zzFW9JBvDsR5J35VOP_r6k?authuser=0&hl=en&rclk=1",rooms in murudeshwar
ChIJtdOI5ttGvDsRvc9gcrVbLtA,RNS Residency,Temple side property with beautiful views of the Arabian Sea,,4398,4.2,,https://www.naveenhotels.com/RNS-Residency/,087624 71752,,RNS Residency (Owner),https://www.google.com/maps/contrib/113432180573784948162,https://lh3.ggpht.com/p/AF1QipMhFIfVI7tv2p3LdI3t7aXCe6e3ctGiUFZBfPKb=s1024,Hotel,Hotel,,,Open All Days,"Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350","balcony, renovation, room service, vegetarian, shiva, statue, premises, gopuram, shore, tariff",https://www.google.com/maps/place/RNS+Residency/data=!4m7!3m6!1s0x3bbc46dbe688d3b5:0xd02e5bb57260cfbd!8m2!3d14.0950465!4d74.4830117!16s%2Fg%2F1tdqrzy2!19sChIJtdOI5ttGvDsRvc9gcrVbLtA?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJLfX9VAhHvDsRZHnVTBYPYgc,Nestle Sahyadri Beachfront Homestay Murudeshwar,,,588,4.9,,https://beachstaymurudeshwar.in/,099454 94973,,Nestle Sahyadri Beachfront Homestay Murudeshwar (Owner),https://www.google.com/maps/contrib/116166196761589386581,https://lh3.ggpht.com/p/AF1QipMiq01lItUBp9UjyhRqynw7oUbM7SHMvQiDnSEs=s1024,Home Stay,"Home Stay, Beach pavillion, Guest house, Resort hotel",,,Open All Days,"House No 1, Christian Colony, Tuddalli, Bailur, Murdeshwar, Karnataka 581350","hospitality, property, meals, hygienic, statue, lord shiva, sunset, neer dosa, fish curry, waves",https://www.google.com/maps/place/Nestle+Sahyadri+Beachfront+Homestay+Murudeshwar/data=!4m7!3m6!1s0x3bbc470854fdf52d:0x7620f164cd57964!8m2!3d14.110781!4d74.4855951!16s%2Fg%2F11symz0xjd!19sChIJLfX9VAhHvDsRZHnVTBYPYgc?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJAwK95ydHvDsRRri720sO3oo,Vrindhavan Homestay,,,183,4.8,,,077959 56196,,Vrindhavan Homestay (Owner),https://www.google.com/maps/contrib/106486366446045853133,https://lh3.ggpht.com/p/AF1QipM5L972U76LDbMLTtaDWjNTkkwQ-rfPD0BGvJ5c=s1024,Home Stay,"Home Stay, Extended stay hotel, Farmstay, Guest house, Gym, Gymnastics center, Hotel, Lodge",,,Open All Days,"Gangavati, Murdeshwar, Karnataka 581350","hospitality, property, trip, amenities, beach, hygiene, management, team, scuba diving, language barrier",https://www.google.com/maps/place/Vrindhavan+Homestay/data=!4m7!3m6!1s0x3bbc4727e7bd0203:0x8ade0e4bdbbbb846!8m2!3d14.0906828!4d74.4940432!16s%2Fg%2F11vkdmvzkc!19sChIJAwK95ydHvDsRRri720sO3oo?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJQ24jlQRHvDsRAuxYJ2YAw5s,KVK Beach Residency,,,153,4.6,,https://kvkbeachresidency.com/,094783 83833,,KVK Beach Residency (Owner),https://www.google.com/maps/contrib/102040319821490986107,https://lh3.ggpht.com/p/AF1QipOm8z4y6-C015dGSI9a2FHf0qNivnyrf_HPWftr=s1024,Home Stay,Home Stay,,,Open All Days,"3FWP+PRV, Naveen Beach Rd, Murdeshwar, Karnataka 581350","wifi, amenities, tv, service, price, clean rooms, hot water, network, sea, budget",https://www.google.com/maps/place/KVK+Beach+Residency/data=!4m7!3m6!1s0x3bbc470495236e43:0x9bc300662758ec02!8m2!3d14.0969435!4d74.4873358!16s%2Fg%2F11jyffl5rq!19sChIJQ24jlQRHvDsRAuxYJ2YAw5s?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJUyt3FtpGvDsRfYjvWSQ76Cc,Kamath Yatri Nivas - Hotel in Murudeshwar,"Pared-back quarters, some with beach views, in a modest lodging offering a vegetarian restaurant.",,1164,3.4,,https://booking.kamathhomestay.com/,095387 37778,,Kamath Yatri Nivas - Hotel in Murudeshwar (Owner),https://www.google.com/maps/contrib/108319960404951214042,https://lh3.ggpht.com/p/AF1QipNash2tM54iZuFJK9ew6skk3JOWBoBYDBh_YHs3=s1024,Hotel,"Hotel, Resort hotel",,,Open All Days,"Temple & Beach, Door No. 378/A/B, Murudeshwar Temple Hwy, opp. Murdeshwar, Murdeshwar, Karnataka 581350","beach, taste, lunch, vegetarian food, food quality, poori, average, fried rice, manners, sambar",https://www.google.com/maps/place/Kamath+Yatri+Nivas+-+Hotel+in+Murudeshwar/data=!4m7!3m6!1s0x3bbc46da16772b53:0x27e83b2459ef887d!8m2!3d14.0947928!4d74.4865047!16s%2Fg%2F11h1pc5ph!19sChIJUyt3FtpGvDsRfYjvWSQ76Cc?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJcQ6UiNNGvDsR7rKXuSm54uc,Shree Vinayaka Residency,"Unfussy rooms, some with air conditioning, in a down-to-earth hotel with a restaurant.",,1393,3.8,,http://shreevinayakaresidency.com/,095359 61455,,Shree Vinayaka Residency (Owner),https://www.google.com/maps/contrib/111730581945452639599,https://lh3.ggpht.com/p/AF1QipP6MXYgwSd1zDqLQ07h4xQjmwJfxusQI9_vuyun=s1024,Lodge,"Lodge, Restaurant",,,Open All Days,"Murudeshwar Temple Main Road, Murudeshwara, Opp H.P Gas, Bhatkal, Karnataka 581350","hot water, beach, car parking, check in, railway station, room service, mosquitoes, intercom, value, ventilation",https://www.google.com/maps/place/Shree+Vinayaka+Residency/data=!4m7!3m6!1s0x3bbc46d388940e71:0xe7e2b929b997b2ee!8m2!3d14.0953712!4d74.4957363!16s%2Fg%2F11b6gg3c1g!19sChIJcQ6UiNNGvDsR7rKXuSm54uc?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJ78tM2tlGvDsRSVEHfwnTIQ4,Amani Beach Home stay,,,825,4.6,,http://www.amanibeachhomestay.in/,074069 03665,,Amani Beach Home stay (Owner),https://www.google.com/maps/contrib/104979486724811083266,https://lh3.ggpht.com/p/AF1QipMcGbs3pXFSPd-m2DcQm9iujMdfZv-hGAK702yb=s1024,Home Stay,"Home Stay, Hotel",,,Open All Days,"Naveen Beach Rd, Qazi Mohalla, Murdeshwar, Karnataka 581350","hygienic, dormitory, sea, clean rooms, barbecue, sunset, distance, budget, cooperative, lord shiva",https://www.google.com/maps/place/Amani+Beach+Home+stay/data=!4m7!3m6!1s0x3bbc46d9da4ccbef:0xe21d3097f075149!8m2!3d14.1006916!4d74.4875226!16s%2Fg%2F11clwmr8b7!19sChIJ78tM2tlGvDsRSVEHfwnTIQ4?authuser=0&hl=en&rclk=1,rooms in murudeshwar
ChIJxVvw_UtHvDsROopWG5iynz0,Royal Retreat lodging & boarding,"Low-key rooms & suites, some with balconies & sea views, in a relaxed hotel offering a restaurant.",,485,4.1,,http://hotelroyalretreat.in/,087927 20472,,Royal Retreat lodging & boarding (Owner),https://www.google.com/maps/contrib/106917795640099250310,https://lh3.ggpht.com/p/AG0ilSzGfZWfzF1zAz9ht8rse6qwZryKh5IOeN0SIrAYRnHHow6SBXU85SLsEvu1cWVQ2FSyDeBijd6lFTr0ycZBUCP5hbWP4c04ICFrt-XvLU4yIoovfU7n-rKO_lVkm-nVANNjfh3d=s1024,Hotel,"Hotel, Lodge",,,Open All Days,"Murudeshwar Temple Hwy, Murdeshwar, Karnataka 581350","hot water, hygiene, customers, hospitality, morning, room service, distance, vegetarian, statue, management",https://www.google.com/maps/place/Royal+Retreat+lodging+%26+boarding/data=!4m7!3m6!1s0x3bbc474bfdf05bc5:0x3d9fb2981b568a3a!8m2!3d14.0945311!4d74.487359!16s%2Fg%2F11nt3yvvyf!19sChIJxVvw_UtHvDsROopWG5iynz0?authuser=0&hl=en&rclk=1,rooms in murudeshwar
