place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJfTRmm89GvDsRlWZZvAgLpOM,Netrani Adventures,Certified Scuba Diving Centre.,,1405,4.7,"Name: Netrani Reef Adventures
Link: https://www.google.com/maps/search/Netrani+Reef+Adventures/@14.0947445,74.4877738?authuser=0&hl=en&entry=ttu
Reviews: 1312 reviews

Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: West Coast Adventures
Link: https://www.google.com/maps/search/West+Coast+Adventures/@14.0957359,74.4864642?authuser=0&hl=en&entry=ttu
Reviews: 227 reviews

Name: Netrani Scuba Diving By Aqua Ride
Link: https://www.google.com/maps/search/Netrani+Scuba+Diving+By+Aqua+Ride/@14.0957371,74.4864398?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews",http://netraniadventures.com/,099004 31111,,Netrani Adventures (Owner),https://www.google.com/maps/contrib/109795284132416829487,https://lh3.ggpht.com/p/AF1QipPvkwT7yCxJ8pkZMPY3U8fkIVGpTDWYDu3AjtpX=s1024,SCUBA instructor,"SCUBA instructor, Adventure Sports Center, Entertainment agency, SCUBA tour agency",Open 24 hours,,Open All Days,"Opposite Murdeshwar Temple Tal: Bhatkal, Murdeshwar, Karnataka 581350","videos, photos, snacks, visibility, job, swimmers, marine life, eels, worry, timers",https://www.google.com/maps/place/Netrani+Adventures/data=!4m7!3m6!1s0x3bbc46cf9b66347d:0xe3a40b08bc596695!8m2!3d14.0944429!4d74.4861662!16s%2Fg%2F11bbxqg2xd!19sChIJfTRmm89GvDsRlWZZvAgLpOM?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJLdF7IfRHvDsRyQ6m3VwA-Zo,Aqua Ride,"Best Scuba Diving services promised.
Customized diving packages available.
Scuba Diving and Snorkeling services in Netrani",,810,4.9,"Name: Netrani Adventures
Link: https://www.google.com/maps/search/Netrani+Adventures/@14.094442899999999,74.4861662?authuser=0&hl=en&entry=ttu
Reviews: 1405 reviews

Name: Netrani Reef Adventures
Link: https://www.google.com/maps/search/Netrani+Reef+Adventures/@14.0947445,74.4877738?authuser=0&hl=en&entry=ttu
Reviews: 1312 reviews

Name: West Coast Adventures
Link: https://www.google.com/maps/search/West+Coast+Adventures/@14.0957359,74.4864642?authuser=0&hl=en&entry=ttu
Reviews: 227 reviews

Name: Coast to Coast Adventurers Murdeshwara
Link: https://www.google.com/maps/search/Coast+to+Coast+Adventurers+Murdeshwara/@14.094610399999999,74.4879952?authuser=0&hl=en&entry=ttu
Reviews: 194 reviews",http://www.aquaride.net/,089713 42362,,Aqua Ride (Owner),https://www.google.com/maps/contrib/107152739697844505283,https://lh3.ggpht.com/p/AF1QipPct0jvXARQqLl8kLyUOOj0A4n0pZB395z-D-aU=s1024,SCUBA instructor,SCUBA instructor,8 am–9 pm,,Open All Days,"Murudeshwar, Beach Road, Murdeshwar, Karnataka 581350","snacks, life, guide, videos, photos, hospitality, cooperative, well, 30 min, memories",https://www.google.com/maps/place/Aqua+Ride/data=!4m7!3m6!1s0x3bbc47f4217bd12d:0x9af9005cdda60ec9!8m2!3d14.0957753!4d74.4864703!16s%2Fg%2F11jsllwpnf!19sChIJLdF7IfRHvDsRyQ6m3VwA-Zo?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJUQxMcdRAvDsRE2CZ6dhmBT0,West Coast Adventures,"West Coast Adventures (WCA) is a premium dive centre and has been operational since 2013. WCA has PADI and SSI certified instructors available, which are the premier organisations in training & certifying dive instructors & dive operators across the world. We have SCUBA diving centres in Mumbai, Goa, Bengaluru, Murdeshwar (Karnataka) & Udupi - Kapu (Karnataka). Our instructors are knowledgeable, friendly and will take good care of you. Come dive with us.",,227,4.5,"Name: Netrani Adventures
Link: https://www.google.com/maps/search/Netrani+Adventures/@14.094442899999999,74.4861662?authuser=0&hl=en&entry=ttu
Reviews: 1405 reviews

Name: Netrani Reef Adventures
Link: https://www.google.com/maps/search/Netrani+Reef+Adventures/@14.0947445,74.4877738?authuser=0&hl=en&entry=ttu
Reviews: 1312 reviews

Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: Coast to Coast Adventurers Murdeshwara
Link: https://www.google.com/maps/search/Coast+to+Coast+Adventurers+Murdeshwara/@14.094610399999999,74.4879952?authuser=0&hl=en&entry=ttu
Reviews: 194 reviews",http://www.westcoastadventures.in/,096111 47373,,West Coast Adventures (Owner),https://www.google.com/maps/contrib/114013082687907522720,https://lh3.ggpht.com/p/AF1QipOpXh1ExFrkjVaNYc68PNVaQSNgY3jTch4fDVw=s1024,Diving center,Diving center,9 am–6 pm,,Open All Days,"Aquaride Office, Naveen Beach Rd, Murdeshwar, Karnataka 581350","certified, crew, beautiful, feel, swimming, felt, eels, adventure sports, visibility, dive sites",https://www.google.com/maps/place/West+Coast+Adventures/data=!4m7!3m6!1s0x3bbc40d4714c0c51:0x3d0566d8e9996013!8m2!3d14.0957359!4d74.4864642!16s%2Fg%2F1ptwwgjb0!19sChIJUQxMcdRAvDsRE2CZ6dhmBT0?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJjcy8dEFHvDsRrvRqfHZruLg,Netrani Reef Adventures,"Scuba Diving in Netrani Island, Scuba Diving in Murdeshwar",,1314,4.5,"Name: Netrani Adventures
Link: https://www.google.com/maps/search/Netrani+Adventures/@14.094442899999999,74.4861662?authuser=0&hl=en&entry=ttu
Reviews: 1405 reviews

Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: Coast to Coast Adventurers Murdeshwara
Link: https://www.google.com/maps/search/Coast+to+Coast+Adventurers+Murdeshwara/@14.094610399999999,74.4879952?authuser=0&hl=en&entry=ttu
Reviews: 194 reviews

Name: Netrani Scuba Diving By Aqua Ride
Link: https://www.google.com/maps/search/Netrani+Scuba+Diving+By+Aqua+Ride/@14.0957371,74.4864398?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews",http://thereefadventures.com/,094824 19191,,Netrani Reef Adventures (Owner),https://www.google.com/maps/contrib/103892927998667353670,https://lh3.ggpht.com/p/AF1QipM0vO7v5e1qbIky1k5jEOs96sOtkcXrCHQ_FvPv=s1024,Dive shop,"Dive shop, Dive club, Diving center",,,Open All Days,"Netaji SB Rd, near Christ the king Church, opposite to chariot museum, Murdeshwar, Karnataka 581350","videos, management, pay, guide, marine life, hospitality, coral reefs, biscuit, planning, rude",https://www.google.com/maps/place/Netrani+Reef+Adventures/data=!4m7!3m6!1s0x3bbc474174bccc8d:0xb8b86b767c6af4ae!8m2!3d14.0947445!4d74.4877738!16s%2Fg%2F11h912h9lw!19sChIJjcy8dEFHvDsRrvRqfHZruLg?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJP3sB90BHvDsR4ACJcGSR-uo,SCUBA SPIRIT NETRANI,SCUBA SPIRIT,,622,4.9,"Name: Netrani Adventures
Link: https://www.google.com/maps/search/Netrani+Adventures/@14.094442899999999,74.4861662?authuser=0&hl=en&entry=ttu
Reviews: 1405 reviews

Name: Netrani Reef Adventures
Link: https://www.google.com/maps/search/Netrani+Reef+Adventures/@14.0947445,74.4877738?authuser=0&hl=en&entry=ttu
Reviews: 1312 reviews

Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: Coast to Coast Adventurers Murdeshwara
Link: https://www.google.com/maps/search/Coast+to+Coast+Adventurers+Murdeshwara/@14.094610399999999,74.4879952?authuser=0&hl=en&entry=ttu
Reviews: 194 reviews

Name: Netrani Scuba Diving By Aqua Ride
Link: https://www.google.com/maps/search/Netrani+Scuba+Diving+By+Aqua+Ride/@14.0957371,74.4864398?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews",https://www.scubaspirit.com/,092022 29292,,SCUBA SPIRIT NETRANI (Owner),https://www.google.com/maps/contrib/114308813853789358904,https://lh3.ggpht.com/p/AF1QipMw1NM976LoNZHzJtRm0iPpHlkAQrHy4nUe1lX7=s1024,Dive shop,"Dive shop, Adventure Sports Center, Emergency training school, Outdoor activity organiser, Outdoor sports store, SCUBA instructor, SCUBA tour agency, Tourist attraction, Water sports equipment rental service",Open 24 hours,,Open All Days,"Matadahitlu, Murdeshwar, Karnataka 581350","adventure, guide, dive master, videos, sir, memories, cooperative, coral reefs, snacks, driving",https://www.google.com/maps/place/SCUBA+SPIRIT+NETRANI/data=!4m7!3m6!1s0x3bbc4740f7017b3f:0xeafa9164708900e0!8m2!3d14.0921462!4d74.4882975!16s%2Fg%2F11wr95l89_!19sChIJP3sB90BHvDsR4ACJcGSR-uo?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJ_0W6YIFHvDsRSvlXhLJlA7Y,Dolphin Dive,"Where adventure meets safety! Our passion for scuba diving shines through our certified PADI instructors, who are eager to share the beauty of Netrani Island’s underwater world with you. We offer tailored diving experiences suitable for all skill levels, ensuring you explore the vibrant marine ecosystem while feeling supported every step of the way. Come dive with us and discover the magic beneath the waves!",,100,4.9,"Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: SCUBA SPIRIT NETRANI
Link: https://www.google.com/maps/search/SCUBA+SPIRIT+NETRANI/@14.0921462,74.4882975?authuser=0&hl=en&entry=ttu
Reviews: 618 reviews

Name: Dive Murdeshwar
Link: https://www.google.com/maps/search/Dive+Murdeshwar/@14.0922834,74.4886064?authuser=0&hl=en&entry=ttu
Reviews: 78 reviews

Name: Coral Adventures Netrani
Link: https://www.google.com/maps/search/Coral+Adventures+Netrani/@14.095065199999999,74.4883879?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",https://www.dolphindive.net/,082775 25511,,Dolphin Dive (Owner),https://www.google.com/maps/contrib/106118108747906325856,https://lh3.ggpht.com/p/AF1QipOStv51xAlYlO0waBApOWCLoy_sCkZ1QVIR0Uz2=s1024,Dive shop,"Dive shop, Diving center, SCUBA instructor",Open 24 hours,,Open All Days,"Murudeshwar Temple Hwy, Matadahitlu, Bhatkal, Murdeshwar, Karnataka 581350","tropical fish, coral, guide, choice, treasure trove, adventure, washroom, cooperative",https://www.google.com/maps/place/Dolphin+Dive/data=!4m7!3m6!1s0x3bbc478160ba45ff:0xb60365b28457f94a!8m2!3d14.0906499!4d74.4886695!16s%2Fg%2F11wwp0l7dd!19sChIJ_0W6YIFHvDsRSvlXhLJlA7Y?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJ8wvDlZVPvDsRtBgMx01zE3I,Coast to Coast Adventurers Murdeshwara,"Coast to Coast Adventurers, launched in 2021, is your ultimate guide to scuba diving in Murdeshwar and Gokarna. Discover the enchanting underwater world of Netrani, where vibrant marine life and pristine coral reefs await. We customize dive plans and offer exceptional learning experiences under the guidance of our skilled SCUBA instructors, making your journey into the deep blue an unforgettable adventure.",,194,4.8,"Name: Netrani Adventures
Link: https://www.google.com/maps/search/Netrani+Adventures/@14.094442899999999,74.4861662?authuser=0&hl=en&entry=ttu
Reviews: 1405 reviews

Name: Netrani Reef Adventures
Link: https://www.google.com/maps/search/Netrani+Reef+Adventures/@14.0947445,74.4877738?authuser=0&hl=en&entry=ttu
Reviews: 1312 reviews

Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: West Coast Adventures
Link: https://www.google.com/maps/search/West+Coast+Adventures/@14.0957359,74.4864642?authuser=0&hl=en&entry=ttu
Reviews: 227 reviews

Name: Coast to Coast Adventurers
Link: https://www.google.com/maps/search/Coast+to+Coast+Adventurers/@14.0957709,74.4864666?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews",https://www.coasttocoastadventurers.in/,,,Coast to Coast Adventurers Murdeshwara (Owner),https://www.google.com/maps/contrib/117692814047800975232,https://lh3.ggpht.com/p/AF1QipPHIzPsV3J9wxGn8c79m7M9AmR-t3Mpa20o0ye6=s1024,Dive shop,"Dive shop, SCUBA instructor",Open 24 hours,,Open All Days,"Main Road, near Temple Street, Murdeshwar, Karnataka 581350","service, price, adventures, videos, snacks, fear, value, trainers, cooperative, handicapped",https://www.google.com/maps/place/Coast+to+Coast+Adventurers+Murdeshwara/data=!4m7!3m6!1s0x3bbc4f9595c30bf3:0x7213734dc70c18b4!8m2!3d14.0946104!4d74.4879952!16s%2Fg%2F11t49js2yj!19sChIJ8wvDlZVPvDsRtBgMx01zE3I?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJq20ZdLNHvDsRRIOF6G9g0WM,Dive Murdeshwar,Scuba Diving and Snorkeling at Netrani Island: An Unforgettable Underwater Adventure.,,78,4.8,"Name: Netrani Adventures
Link: https://www.google.com/maps/search/Netrani+Adventures/@14.094442899999999,74.4861662?authuser=0&hl=en&entry=ttu
Reviews: 1405 reviews

Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: Murudeshwar Scuba
Link: https://www.google.com/maps/search/Murudeshwar+Scuba/@14.0935622,74.4869982?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://divemurdeshwar.com/,,,Dive Murdeshwar (Owner),https://www.google.com/maps/contrib/105414470637260566034,https://lh3.ggpht.com/p/AF1QipPecIT4NSPvZhwrVQZQDebCZ1wzQV-sGglP2Kai=s1024,SCUBA tour agency,SCUBA tour agency,Open 24 hours,,Open All Days,"Beach road, Murudeshwar Temple Hwy, Matadahitlu, Murdeshwar, Karnataka 581350",,https://www.google.com/maps/place/Dive+Murdeshwar/data=!4m7!3m6!1s0x3bbc47b374196dab:0x63d1606fe8858344!8m2!3d14.0922834!4d74.4886064!16s%2Fg%2F11lyrpwvwv!19sChIJq20ZdLNHvDsRRIOF6G9g0WM?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJ1XkCkd9HvDsRPG9uW0kuBeI,Netrani Scuba Diving By Aqua Ride,"Scuba Diving In Netrani
Scuba Diving In Murdeshwar",,10,4.9,"Name: Netrani Adventures
Link: https://www.google.com/maps/search/Netrani+Adventures/@14.094442899999999,74.4861662?authuser=0&hl=en&entry=ttu
Reviews: 1405 reviews

Name: Netrani Reef Adventures
Link: https://www.google.com/maps/search/Netrani+Reef+Adventures/@14.0947445,74.4877738?authuser=0&hl=en&entry=ttu
Reviews: 1312 reviews

Name: Netrani Scuba
Link: https://www.google.com/maps/search/Netrani+Scuba/@14.0950842,74.4925281?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: Netrani Scuba Adventures
Link: https://www.google.com/maps/search/Netrani+Scuba+Adventures/@14.0957735,74.4864511?authuser=0&hl=en&entry=ttu
Reviews: 12 reviews",https://www.netraniscubadiving.in/,,,Netrani Scuba Diving By Aqua Ride (Owner),https://www.google.com/maps/contrib/115439413408129817556,https://lh3.ggpht.com/p/AF1QipP9pbXpsBXG2ZJd9PnPa40ECzBDKavb7zUolalq=s1024,SCUBA tour agency,SCUBA tour agency,Open 24 hours,,Open All Days,"Naveen Beach Rd, near Naveen Beach Resort, Murdeshwar, Karnataka 581350",,https://www.google.com/maps/place/Netrani+Scuba+Diving+By+Aqua+Ride/data=!4m7!3m6!1s0x3bbc47df910279d5:0xe2052e495b6e6f3c!8m2!3d14.0957371!4d74.4864398!16s%2Fg%2F11vldb966g!19sChIJ1XkCkd9HvDsRPG9uW0kuBeI?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
ChIJrdvSDFlHvDsRQrCvFB9AzTA,Just Dive,,,302,4.3,"Name: Netrani Reef Adventures
Link: https://www.google.com/maps/search/Netrani+Reef+Adventures/@14.0947445,74.4877738?authuser=0&hl=en&entry=ttu
Reviews: 1312 reviews

Name: Aqua Ride
Link: https://www.google.com/maps/search/Aqua+Ride/@14.0957753,74.4864703?authuser=0&hl=en&entry=ttu
Reviews: 808 reviews

Name: West Coast Adventures
Link: https://www.google.com/maps/search/West+Coast+Adventures/@14.0957359,74.4864642?authuser=0&hl=en&entry=ttu
Reviews: 227 reviews

Name: Coast to Coast Adventurers Murdeshwara
Link: https://www.google.com/maps/search/Coast+to+Coast+Adventurers+Murdeshwara/@14.094610399999999,74.4879952?authuser=0&hl=en&entry=ttu
Reviews: 194 reviews",http://www.justdivescuba.in/,087624 12121,,Just Dive (Owner),https://www.google.com/maps/contrib/117950412157372227024,https://lh3.ggpht.com/p/AF1QipMkncujdeu07d3iEkAkRWoLRyydFNd70wsSuxIa=s1024,SCUBA instructor,"SCUBA instructor, Dive shop",7 am–7 pm,,Open All Days,"Golf Beach road, Matadahitlu, Murdeshwar, Karnataka 581350","photos, videos, money, room, management, company, 30 minutes, diving team, cooperative, memories",https://www.google.com/maps/place/Just+Dive/data=!4m7!3m6!1s0x3bbc47590cd2dbad:0x30cd401f14afb042!8m2!3d14.0877295!4d74.4885127!16s%2Fg%2F11y1xtq2ps!19sChIJrdvSDFlHvDsRQrCvFB9AzTA?authuser=0&hl=en&rclk=1,scuba diving in murudeshwar
